2022-11-24 16:21:11,740 INFO com.example.helloworld.HelloWorldApplication [main] Starting HelloWorldApplication using Java 19.0.1 on LAPTOP-KO9KLUCB with PID 8844 (E:\Springboot_CRUD\Farmacy-_Stock_Management\target\classes started by HP in E:\Springboot_CRUD\Farmacy-_Stock_Management)
2022-11-24 16:21:11,743 DEBUG com.example.helloworld.HelloWorldApplication [main] Running with Spring Boot v2.7.5, Spring v5.3.23
2022-11-24 16:21:11,744 INFO com.example.helloworld.HelloWorldApplication [main] No active profile set, falling back to 1 default profile: "default"
2022-11-24 16:21:19,178 INFO com.example.helloworld.HelloWorldApplication [main] Started HelloWorldApplication in 8.541 seconds (JVM running for 10.394)
2022-11-24 16:25:21,689 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Starting HelloWorldApplication using Java 19.0.1 on LAPTOP-KO9KLUCB with PID 27488 (E:\Springboot_CRUD\Farmacy-_Stock_Management\target\classes started by HP in E:\Springboot_CRUD\Farmacy-_Stock_Management)
2022-11-24 16:25:21,691 main [DEBUG] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Running with Spring Boot v2.7.5, Spring v5.3.23
2022-11-24 16:25:21,693 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication No active profile set, falling back to 1 default profile: "default"
2022-11-24 16:25:27,257 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Started HelloWorldApplication in 6.338 seconds (JVM running for 8.039)
2022-11-24 16:30:11,354 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Starting HelloWorldApplication using Java 19.0.1 on LAPTOP-KO9KLUCB with PID 16232 (E:\Springboot_CRUD\Farmacy-_Stock_Management\target\classes started by HP in E:\Springboot_CRUD\Farmacy-_Stock_Management)
2022-11-24 16:30:11,356 main [DEBUG] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Running with Spring Boot v2.7.5, Spring v5.3.23
2022-11-24 16:30:11,358 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication No active profile set, falling back to 1 default profile: "default"
2022-11-24 16:30:15,374 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Started HelloWorldApplication in 4.507 seconds (JVM running for 5.262)
2022-11-24 16:31:22,036 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Starting HelloWorldApplication using Java 19.0.1 on LAPTOP-KO9KLUCB with PID 26140 (E:\Springboot_CRUD\Farmacy-_Stock_Management\target\classes started by HP in E:\Springboot_CRUD\Farmacy-_Stock_Management)
2022-11-24 16:31:22,037 main [DEBUG] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Running with Spring Boot v2.7.5, Spring v5.3.23
2022-11-24 16:31:22,038 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication No active profile set, falling back to 1 default profile: "default"
2022-11-24 16:31:26,144 main [INFO ] [com.example.helloworld.HelloWorldApplication      ] com.example.helloworld.HelloWorldApplication Started HelloWorldApplication in 4.541 seconds (JVM running for 5.271)
2022-11-24 16:32:45,706 http-nio-8080-exec-1 [ERROR] [com.example.helloworld.controller.productController] com.example.helloworld.controller.productController FATAL ERROR
